distance(m)   time(s)   counts(unitless)
0.0   010   405030
0.5   010   287406
1.0   010   211166
1.5   010   156266
2.0   010   121425
2.5   010   095535
3.0   010   077341
3.5   010   063786
4.0   010   053142
4.5   010   045115
5.0   010   038801
5.5   010   033498
6.0   010   029031
6.5   010   025643
7.0   010   022595
7.5   010   020212
8.0   010   018195
8.5   010   016327
9.0   010   014974
9.5   010   013199
10    010   012386
11    010   010267
12    010   008876
13    010   007638
14    010   006710
15    010   005886
16    010   005124
17    010   004641
18    010   004166
19    010   003763
20    010   003343
21    010   003082
22    010   002815
23    010   002569
24    010   002340
25    010   002162
26    010   002033
27    012   002225
28    014   002373
29    014   002300
30    014   002139
32    016   002084
34    018   002113
36    020   002090
38    022   002077
40    026   002167
42    030   002189
44    034   002336
46    038   002326
48    042   002371
50    046   002325
55    050   002187
60    060   002100
65    070   002026
70    090   002229
75    100   002117
80    120   002258
85    140   002203
90    160   002295
95    180   002255
