# distance (m), g, g_p, g_m, y (m^2), y_p (m^2), y_m (m^2)
3.000000000000000076e-06,2.177724498277109899e-01,2.172985163133960840e-01,2.182484551825256414e-01,1.959952048449399370e-12,1.955686646820565117e-12,1.964236096642731064e-12
2.004008016032063962e-03,1.507996859071074613e-01,1.504715037832617397e-01,1.511293027069043893e-01,6.056187963385987400e-07,6.043008011343797905e-07,6.069425532704862641e-07
4.008016032064127925e-03,1.075606822330318207e-01,1.073266002259958551e-01,1.077957875493881640e-01,1.727875506251489894e-06,1.724115167826568420e-06,1.731652283314334451e-06
6.012024048096191453e-03,7.889427409131077873e-02,7.872257817381064782e-02,7.906672059205679948e-02,2.851588816196709028e-06,2.845382964583658572e-06,2.857821797215717861e-06
8.016032064128255849e-03,5.938751474974306860e-02,5.925827097444439501e-02,5.951732352515233526e-02,3.816049879301243627e-06,3.807745091751077846e-06,3.824390971933595199e-06
1.002004008016032024e-02,4.577535226399891827e-02,4.567573234612298111e-02,4.587540767878361264e-02,4.595900444576418450e-06,4.585898484958190361e-06,4.605946128608279622e-06
1.202404809619238291e-02,3.604628490159238197e-02,3.596783814446161132e-02,3.612507459536635351e-02,5.211490140430461522e-06,5.200148486153137947e-06,5.222881375710090899e-06
1.402805611222444730e-02,2.893437179991828131e-02,2.887140254681726595e-02,2.899761632844269355e-02,5.693889655848753357e-06,5.681498165846907329e-06,5.706335316298696532e-06
1.603206412825651170e-02,2.362573505537941473e-02,2.357431887462777681e-02,2.367737600632013537e-02,6.072453699158968346e-06,6.059238348344695110e-06,6.085726821998660120e-06
1.803607214428857436e-02,1.958606731964214129e-02,1.954344258118807798e-02,1.962887839575064644e-02,6.371345709017284546e-06,6.357479885929107364e-06,6.385272147725517979e-06
2.004008016032064049e-02,1.645733429300859016e-02,1.642151854917179091e-02,1.649330660840314308e-02,6.609344658458636555e-06,6.594960883358616857e-06,6.623791313449801753e-06
2.204408817635270315e-02,1.399484643229691183e-02,1.396438974800464500e-02,1.402543626056422521e-02,6.800681195288074668e-06,6.785881018584510411e-06,6.815546072217665079e-06
2.404809619238476581e-02,1.202820328898200793e-02,1.200202656800489903e-02,1.205449444371202265e-02,6.956041436032017783e-06,6.940903152166878520e-06,6.971245898187278674e-06
2.605210420841683194e-02,1.043657111008113904e-02,1.041385822409619799e-02,1.045938328737093179e-02,7.083427446491027171e-06,7.068011935182016915e-06,7.098910348013410831e-06
2.805611222444889460e-02,9.132841029301622809e-03,9.112965423144275476e-03,9.152803523354740775e-03,7.188874107907669594e-06,7.173229115289808131e-06,7.204587493935883176e-06
3.006012024048096073e-02,8.053188853363636018e-03,8.035662871092984910e-03,8.070791451950222808e-03,7.276948654852061190e-06,7.261111987485678735e-06,7.292854553551190469e-06
3.206412825651302340e-02,7.150148796358137687e-03,7.134588080805671917e-03,7.165777536896624292e-03,7.351127472852249331e-06,7.335129371714377641e-06,7.367195511044275129e-06
3.406813627254508953e-02,6.387954821467067487e-03,6.374052852323505020e-03,6.401917564246230492e-03,7.414102527315081266e-06,7.397967374916136185e-06,7.430308215899375855e-06
3.607214428857714872e-02,5.739287253707337291e-03,5.726796965886429142e-03,5.751832143879374686e-03,7.467958241939496694e-06,7.451705884503284860e-06,7.484281647932806560e-06
3.807615230460921485e-02,5.183028692011794336e-03,5.171748977774555216e-03,5.194357716475208296e-03,7.514320656608838561e-06,7.497967401643423857e-06,7.530745401213448496e-06
4.008016032064128098e-02,4.702682757943318047e-03,4.692448410265530855e-03,4.712961845938822350e-03,7.554480115249846152e-06,7.538039462115462317e-06,7.570992640091922135e-06
4.208416833667334017e-02,4.285237459062248185e-03,4.275911588639914884e-03,4.294604098317028607e-03,7.589486465702752170e-06,7.572969628998284765e-06,7.606075507157839606e-06
4.408817635270540630e-02,3.920299502774084004e-03,3.911767839003085778e-03,3.928868463435884577e-03,7.620149956597187508e-06,7.603566387594801433e-06,7.636806022076086765e-06
4.609218436873747243e-02,3.599525207641581567e-03,3.591691638092851715e-03,3.607393022303092937e-03,7.647153364212979707e-06,7.630511028273454234e-06,7.663868453533663184e-06
4.809619238476953162e-02,3.316137099717817154e-03,3.308920261633557184e-03,3.323385486821025647e-03,7.671033326924238190e-06,7.654339021533761747e-06,7.687800612884727186e-06
5.010020040080159776e-02,3.064606357748577824e-03,3.057936920626165393e-03,3.071304950880268583e-03,7.692254141922565849e-06,7.675513654127304194e-06,7.709067812178134563e-06
5.210420841683366389e-02,2.840376206383596770e-03,2.834194756532925664e-03,2.846584678965855854e-03,7.711191182024616000e-06,7.694409481954921605e-06,7.728046244717564801e-06
5.410821643286573002e-02,2.639663481514014417e-03,2.633918838463929647e-03,2.645433237757760514e-03,7.728140360977331645e-06,7.711321774772809750e-06,7.745032471055969515e-06
5.611222444889778921e-02,2.459322916030404205e-03,2.453970744287139061e-03,2.464698485245770624e-03,7.743379207986460407e-06,7.726527457805858274e-06,7.760304627020308464e-06
5.811623246492985534e-02,2.296704167405680570e-03,2.291705899359096094e-03,2.301724285804381247e-03,7.757110231638335225e-06,7.740228598925303664e-06,7.774065663838636614e-06
6.012024048096192147e-02,2.149575314456852841e-03,2.144897239779035812e-03,2.154273839734354053e-03,7.769518126478077046e-06,7.752609490729483850e-06,7.786500679759995584e-06
6.212424849699398066e-02,2.016048408476428782e-03,2.011660925541768410e-03,2.020455071664355000e-03,7.780782087404659861e-06,7.763848938139361868e-06,7.797789261366198620e-06
6.412825651302604679e-02,1.894502915079429063e-03,1.890379948996557960e-03,1.898643905057744450e-03,7.791016843471853926e-06,7.774061420526322611e-06,7.808046388484904935e-06
6.613226452905811292e-02,1.783555381822570776e-03,1.779673868478016778e-03,1.787453863531472068e-03,7.800337391435292235e-06,7.783361684381026141e-06,7.817387309230777007e-06
6.813627254509017905e-02,1.682021149163467075e-03,1.678360602592926781e-03,1.685697698123387114e-03,7.808870038405339831e-06,7.791875761934383588e-06,7.825938606795295721e-06
7.014028056112224518e-02,1.588865547518200118e-03,1.585407733486604619e-03,1.592338477676709602e-03,7.816676622623182634e-06,7.799665356850337384e-06,7.833762254585200605e-06
7.214428857715429744e-02,1.503195931388236423e-03,1.499924558305781083e-03,1.506481605555204991e-03,7.823831739949452355e-06,7.806804902648148493e-06,7.840933011512182365e-06
7.414829659318636357e-02,1.424240661170423326e-03,1.421141116750030981e-03,1.427353755511779352e-03,7.830432267911813045e-06,7.813391066022996954e-06,7.847547966858067639e-06
7.615230460921842970e-02,1.351314342874929348e-03,1.348373506437769691e-03,1.354268035427661290e-03,7.836506323715157138e-06,7.819451902988900445e-06,7.853635299286118314e-06
