thickness(mm)   time(s)   counts(unitless)
0.00   010   144125
0.20   010   112110
0.42   010   086636
0.62   010   066491
0.82   010   049831
0.97   010   039642
1.18   010   029375
1.38   010   021263
1.58   010   014722
1.79   010   010090
1.99   010   007222
2.16   010   004590
2.37   010   002849
2.57   010   001662
2.77   020   001831
2.92   020   001115
3.13   040   001261
3.33   060   001020
3.54   100   001123
3.75   140   001155
4.08   180   001176
4.30   240   001668
4.50   240   001495
4.71   240   001578
4.91   200   001196
5.07   200   001298
5.27   200   001264
5.47   200   001223
5.67   200   001225
5.88   200   001209
6.03   200   001213
