ESTAR: Stopping Powers and Range Tables for Electrons

POLYMETHYL METHACRALATE (LUCITE, PERSPEX, PLEXIGLASS)

Kinetic   Collision Radiative Total     D. Effect
Energy    Stp. Pow. Stp. Pow. Stp. Pow. Parameter
MeV       MeV cm2/g MeV cm2/g MeV cm2/g

1.300E-02 1.793E+01 3.351E-03 1.793E+01 0.000E+00
1.900E-02 1.335E+01 3.370E-03 1.335E+01 0.000E+00
2.500E-02 1.080E+01 3.382E-03 1.081E+01 0.000E+00
3.100E-02 9.169E+00 3.393E-03 9.173E+00 0.000E+00
3.700E-02 8.025E+00 3.406E-03 8.029E+00 0.000E+00
4.300E-02 7.178E+00 3.420E-03 7.182E+00 0.000E+00
4.900E-02 6.524E+00 3.436E-03 6.528E+00 0.000E+00
5.500E-02 6.003E+00 3.453E-03 6.007E+00 0.000E+00
6.100E-02 5.578E+00 3.472E-03 5.582E+00 0.000E+00
6.700E-02 5.225E+00 3.491E-03 5.228E+00 0.000E+00
7.300E-02 4.926E+00 3.512E-03 4.930E+00 0.000E+00
7.900E-02 4.671E+00 3.534E-03 4.674E+00 0.000E+00
8.500E-02 4.449E+00 3.557E-03 4.453E+00 0.000E+00
9.100E-02 4.255E+00 3.581E-03 4.259E+00 0.000E+00
9.700E-02 4.084E+00 3.606E-03 4.088E+00 0.000E+00
1.030E-01 3.932E+00 3.631E-03 3.936E+00 0.000E+00
1.090E-01 3.797E+00 3.658E-03 3.800E+00 0.000E+00
1.150E-01 3.674E+00 3.685E-03 3.678E+00 0.000E+00
1.210E-01 3.564E+00 3.713E-03 3.568E+00 0.000E+00
1.270E-01 3.464E+00 3.742E-03 3.467E+00 0.000E+00
1.330E-01 3.372E+00 3.770E-03 3.376E+00 0.000E+00
1.390E-01 3.288E+00 3.800E-03 3.292E+00 0.000E+00
1.450E-01 3.211E+00 3.830E-03 3.215E+00 0.000E+00
1.510E-01 3.140E+00 3.860E-03 3.144E+00 0.000E+00
1.570E-01 3.074E+00 3.891E-03 3.078E+00 0.000E+00
1.630E-01 3.013E+00 3.923E-03 3.017E+00 0.000E+00
1.690E-01 2.957E+00 3.954E-03 2.961E+00 0.000E+00
1.750E-01 2.904E+00 3.987E-03 2.908E+00 0.000E+00
1.810E-01 2.855E+00 4.019E-03 2.859E+00 0.000E+00
1.870E-01 2.809E+00 4.052E-03 2.813E+00 0.000E+00
1.930E-01 2.766E+00 4.086E-03 2.770E+00 0.000E+00
1.990E-01 2.725E+00 4.120E-03 2.729E+00 0.000E+00
2.050E-01 2.687E+00 4.154E-03 2.691E+00 0.000E+00
2.110E-01 2.651E+00 4.189E-03 2.655E+00 0.000E+00
2.170E-01 2.617E+00 4.224E-03 2.621E+00 0.000E+00
2.230E-01 2.585E+00 4.260E-03 2.589E+00 0.000E+00
2.290E-01 2.555E+00 4.296E-03 2.559E+00 0.000E+00
2.350E-01 2.526E+00 4.332E-03 2.530E+00 0.000E+00
2.410E-01 2.499E+00 4.369E-03 2.503E+00 0.000E+00
2.470E-01 2.473E+00 4.406E-03 2.477E+00 0.000E+00
2.530E-01 2.448E+00 4.443E-03 2.453E+00 0.000E+00
2.590E-01 2.425E+00 4.482E-03 2.430E+00 0.000E+00
2.650E-01 2.403E+00 4.520E-03 2.407E+00 0.000E+00
2.710E-01 2.382E+00 4.559E-03 2.386E+00 0.000E+00
2.770E-01 2.361E+00 4.598E-03 2.366E+00 0.000E+00
2.830E-01 2.342E+00 4.638E-03 2.347E+00 0.000E+00
2.890E-01 2.324E+00 4.677E-03 2.328E+00 0.000E+00
2.950E-01 2.306E+00 4.718E-03 2.311E+00 0.000E+00
3.020E-01 2.286E+00 4.765E-03 2.291E+00 0.000E+00
3.080E-01 2.270E+00 4.806E-03 2.275E+00 0.000E+00
3.140E-01 2.255E+00 4.847E-03 2.260E+00 0.000E+00
3.200E-01 2.240E+00 4.889E-03 2.245E+00 0.000E+00
3.260E-01 2.226E+00 4.931E-03 2.231E+00 0.000E+00
3.320E-01 2.212E+00 4.973E-03 2.217E+00 0.000E+00
3.380E-01 2.199E+00 5.015E-03 2.204E+00 0.000E+00
3.440E-01 2.187E+00 5.058E-03 2.192E+00 0.000E+00
3.500E-01 2.175E+00 5.101E-03 2.180E+00 0.000E+00
3.560E-01 2.163E+00 5.145E-03 2.168E+00 0.000E+00
3.620E-01 2.152E+00 5.189E-03 2.157E+00 0.000E+00
3.680E-01 2.141E+00 5.233E-03 2.147E+00 0.000E+00
