E(keV),dNtot/dE b-,unc.
0,2.95E-03,8.32E-06
1,2.95E-03,8.30E-06
2,2.95E-03,8.28E-06
3,2.94E-03,8.25E-06
4,2.94E-03,8.23E-06
5,2.94E-03,8.21E-06
6,2.93E-03,8.19E-06
7,2.93E-03,8.17E-06
8,2.93E-03,8.15E-06
9,2.92E-03,8.13E-06
10,2.92E-03,8.11E-06
11,2.92E-03,8.09E-06
12,2.91E-03,8.07E-06
13,2.91E-03,8.05E-06
14,2.91E-03,8.04E-06
15,2.91E-03,8.02E-06
16,2.90E-03,8.00E-06
17,2.90E-03,7.98E-06
18,2.90E-03,7.96E-06
19,2.89E-03,7.94E-06
20,2.89E-03,7.93E-06
21,2.89E-03,7.91E-06
22,2.89E-03,7.89E-06
23,2.88E-03,7.88E-06
24,2.88E-03,7.86E-06
25,2.88E-03,7.84E-06
26,2.88E-03,7.83E-06
27,2.87E-03,7.81E-06
28,2.87E-03,7.80E-06
29,2.87E-03,7.78E-06
30,2.87E-03,7.77E-06
31,2.87E-03,7.75E-06
32,2.86E-03,7.74E-06
33,2.86E-03,7.72E-06
34,2.86E-03,7.71E-06
35,2.86E-03,7.69E-06
36,2.85E-03,7.68E-06
37,2.85E-03,7.66E-06
38,2.85E-03,7.65E-06
39,2.85E-03,7.64E-06
40,2.85E-03,7.62E-06
41,2.85E-03,7.61E-06
42,2.84E-03,7.60E-06
43,2.84E-03,7.58E-06
44,2.84E-03,7.57E-06
45,2.84E-03,7.56E-06
46,2.84E-03,7.54E-06
47,2.83E-03,7.53E-06
48,2.83E-03,7.52E-06
49,2.83E-03,7.51E-06
50,2.83E-03,7.49E-06
51,2.83E-03,7.48E-06
52,2.83E-03,7.47E-06
53,2.82E-03,7.46E-06
54,2.82E-03,7.44E-06
55,2.82E-03,7.43E-06
56,2.82E-03,7.42E-06
57,2.82E-03,7.41E-06
58,2.82E-03,7.40E-06
59,2.81E-03,7.38E-06
60,2.81E-03,7.37E-06
61,2.81E-03,7.36E-06
62,2.81E-03,7.35E-06
63,2.81E-03,7.34E-06
64,2.81E-03,7.33E-06
65,2.80E-03,7.32E-06
66,2.80E-03,7.30E-06
67,2.80E-03,7.29E-06
68,2.80E-03,7.28E-06
69,2.80E-03,7.27E-06
70,2.80E-03,7.26E-06
71,2.79E-03,7.25E-06
72,2.79E-03,7.23E-06
73,2.79E-03,7.22E-06
74,2.79E-03,7.21E-06
75,2.79E-03,7.20E-06
76,2.79E-03,7.19E-06
77,2.79E-03,7.18E-06
78,2.78E-03,7.17E-06
79,2.78E-03,7.16E-06
80,2.78E-03,7.14E-06
81,2.78E-03,7.13E-06
82,2.78E-03,7.12E-06
83,2.78E-03,7.11E-06
84,2.77E-03,7.10E-06
85,2.77E-03,7.09E-06
