E(keV),dNtot/dE b-,unc.
0,3.45E-04,4.64E-07
0.3,3.45E-04,4.64E-07
0.6,3.45E-04,4.64E-07
0.9,3.46E-04,4.65E-07
1.2,3.46E-04,4.65E-07
1.7,3.46E-04,4.65E-07
2.2,3.46E-04,4.65E-07
2.7,3.47E-04,4.65E-07
3.2,3.47E-04,4.66E-07
3.7,3.47E-04,4.66E-07
4.2,3.48E-04,4.66E-07
4.7,3.48E-04,4.66E-07
5.2,3.48E-04,4.67E-07
5.7,3.48E-04,4.67E-07
6.2,3.49E-04,4.67E-07
6.7,3.49E-04,4.67E-07
7.2,3.49E-04,4.67E-07
7.7,3.50E-04,4.68E-07
8.2,3.50E-04,4.68E-07
8.7,3.50E-04,4.68E-07
9.2,3.51E-04,4.68E-07
9.7,3.51E-04,4.69E-07
10,3.51E-04,4.69E-07
11,3.52E-04,4.69E-07
12,3.52E-04,4.70E-07
13,3.53E-04,4.70E-07
14,3.54E-04,4.71E-07
15,3.54E-04,4.71E-07
16,3.55E-04,4.72E-07
17,3.56E-04,4.72E-07
18,3.56E-04,4.73E-07
19,3.57E-04,4.73E-07
20,3.57E-04,4.74E-07
21,3.58E-04,4.74E-07
22,3.59E-04,4.75E-07
23,3.59E-04,4.75E-07
24,3.60E-04,4.76E-07
25,3.61E-04,4.76E-07
26,3.61E-04,4.77E-07
27,3.62E-04,4.77E-07
28,3.63E-04,4.78E-07
29,3.64E-04,4.79E-07
30,3.64E-04,4.79E-07
31,3.65E-04,4.80E-07
32,3.66E-04,4.80E-07
33,3.66E-04,4.81E-07
34,3.67E-04,4.81E-07
35,3.68E-04,4.82E-07
36,3.68E-04,4.83E-07
37,3.69E-04,4.83E-07
38,3.70E-04,4.84E-07
39,3.71E-04,4.84E-07
40,3.71E-04,4.85E-07
41,3.72E-04,4.85E-07
42,3.73E-04,4.86E-07
43,3.74E-04,4.87E-07
44,3.74E-04,4.87E-07
45,3.75E-04,4.88E-07
46,3.76E-04,4.88E-07
47,3.77E-04,4.89E-07
48,3.77E-04,4.90E-07
